variable_name,variable_type,variable_description
country_US,binary,Whether the country was the United States (1) or not (0)
sex_male,binary,"Baby's sex: Female (0), Male (1)"
race_ai_an,binary,"Baby's race - American Indian/Alaskan Native: Yes (1), No (0) "
race_asian,binary,"Baby's race - Asian: Yes (1), No (0) "
race_black,binary,"Baby's race - Black/African American: Yes (1), No (0) "
race_hispanic,binary,"Baby's race - Hispanic, Latino, Spanish origin: Yes (1), No (0) "
race_pi,binary,"Baby's race - Native Hawaiian or other Pacific Islander: Yes (1), No (0) "
race_mena,binary,"Baby's race - Middle Eastern/North African: Yes (1), No (0) "
race_white,binary,"Baby's race - White: Yes (1), No (0) "
momsdeliveryage,integer,Mother's Age at Delivery
momsage_over35,binary,"Mother's Age Over 35: Yes (1), No (0)"
dadsdeliveryage,integer,Father's Age at Delivery
momsedu,factor,"Mother's Education (Levels: Less than high school, high school graduate, some college, Bachelor's Degree, Graduate Degree)"
dadsedu,factor,"Father's Education (Levels: Less than high school, high school graduate, some college, Bachelor's Degree, Graduate Degree)"
marriage,factor,"Current Marital Status of Mother (Levels: Married, Never Married, Previously Married)"
art,binary,"Whether the baby was conceived with the help of assisted reproductive technology (ART) such as IVF, IUI, etc... (1) or not (0) "
artmethod___1,binary,Whether In vitro fertilization (IVF) was used (1) or not (0)
artmethod___7,binary,Whether Intrauterine insemination (IUI) was used (1) or not (0)
artmethod___6,binary,Whether Intracytoplasmic sperm injection (ICSI) was used (1) or not (0)
artmethod___2,binary,Whether egg donation was used (1) or not (0)
artmethod___3,binary,Whether sperm donation (IVF) was used (1) or not (0)
artmethod___4,binary,Whether embryo adoption (IVF) was used (1) or not (0)
artmethod___5,binary,Whether other ART was used (1) or not (0)
maternalpregnancyproblems___1,binary,Whether the mother experienced gestational diabetes (1) or not (0)
maternalpregnancyproblems___2,binary,Whether the mother experienced Infections requiring antibiotics (1) or not (0)
maternalpregnancyproblems___3,binary,Whether the mother experienced Placenta previa (1) or not (0)
maternalpregnancyproblems___15,binary,Whether the mother experienced Placenta accreta (1) or not (0)
maternalpregnancyproblems___21,binary,Whether the mother experienced Chorioamnionitis (1) or not (0)
maternalpregnancyproblems___16,binary,Whether the mother experienced Hyperemesis gravidarum (1) or not (0)
maternalpregnancyproblems___4,binary,Whether the mother experienced Antidepressants to treat depression (1) or not (0)
maternalpregnancyproblems___5,binary,Whether the mother experienced Anticonvulsants to treat seizures (1) or not (0)
maternalpregnancyproblems___6,binary,Whether the mother experienced Intrauterine growth restriction (IUGR) (1) or not (0)
maternalpregnancyproblems___7,binary,Whether the mother experienced Preeclampsia/eclampsia (1) or not (0)
maternalpregnancyproblems___8,binary,Whether the mother experienced Anemia (1) or not (0)
maternalpregnancyproblems___9,binary,"Whether the mother experienced Hypertension (high blood
pressure) (1) or not (0)"
maternalpregnancyproblems___10,binary,Whether the mother had a history of recurrent miscarriage/ recurrent pregnancy loss (1) or not (0)
maternalpregnancyproblems___11,binary,Whether the mother experienced Preterm labor (1) or not (0)
maternalpregnancyproblems___12,binary,"Whether the mother experienced Cerclage, cervical incompetence, or insufficiency (1) or not (0)"
maternalpregnancyproblems___13,binary,Whether the mother experienced Placental abruption (1) or not (0)
maternalpregnancyproblems___14,binary,Whether the mother experienced Vaginal bleeding (1) or not (0)
maternalpregnancyproblems___17,binary,"Whether the mother experienced treatment with opioids including Subutex (buprenorphine), suboxone, methadone (1) or not (0)"
maternalpregnancyproblems___19,binary,Whether the mother experienced Perinatal or Post-partum depression (1) or not (0)
maternalpregnancyproblems___20,binary,Whether the mother experienced Perinatal or Post-partum psychosis (1) or not (0)
maternalpregnancyproblems___18,binary,"Whether the mother experienced other interventions, complications, or abnormalities during their pregnancy (1) or not (0)"
